,Cluster1,Cluster2,Distance,New Cluster Size
148,762.0,2109.0,0.0,9.0
149,799.0,2113.0,0.0,11.0
150,800.0,2115.0,0.0,12.0
151,426.0,557.0,0.0,2.0
152,468.0,599.0,0.0,2.0
153,900.0,2116.0,0.0,13.0
154,901.0,1330.0,0.0,2.0
155,907.0,2102.0,0.0,3.0
156,909.0,2119.0,0.0,14.0
157,913.0,1174.0,0.0,2.0
158,1631.0,1632.0,0.0,2.0
159,1633.0,2124.0,0.0,3.0
160,1634.0,2125.0,0.0,4.0
161,1635.0,2126.0,0.0,5.0
162,1636.0,2127.0,0.0,6.0
163,1046.0,1047.0,0.0,2.0
164,1162.0,1163.0,0.0,2.0
165,1165.0,2121.0,0.0,4.0
166,1167.0,1169.0,0.0,2.0
167,1172.0,1178.0,0.0,2.0
168,1176.0,2131.0,0.0,5.0
169,1180.0,1193.0,0.0,2.0
170,1181.0,2123.0,0.0,3.0
171,1182.0,2134.0,0.0,6.0
172,1183.0,2137.0,0.0,7.0
173,1187.0,2110.0,0.0,3.0
174,1189.0,2122.0,0.0,15.0
175,1194.0,2136.0,0.0,4.0
176,1195.0,2138.0,0.0,8.0
177,1199.0,2142.0,0.0,9.0
178,1200.0,1217.0,0.0,2.0
179,1202.0,2132.0,0.0,3.0
180,1204.0,2140.0,0.0,16.0
181,1206.0,2135.0,0.0,3.0
182,1215.0,1454.0,0.0,2.0
183,1218.0,2146.0,0.0,17.0
184,1219.0,2147.0,0.0,4.0
185,1262.0,1263.0,0.0,2.0
186,1265.0,1267.0,0.0,2.0
187,1278.0,1279.0,0.0,2.0
188,181.0,2035.0,0.0,4.0
189,193.0,2053.0,0.0,3.0
190,402.0,533.0,0.0,2.0
191,405.0,536.0,0.0,2.0
192,1699.0,2154.0,0.0,5.0
193,1704.0,2158.0,0.0,6.0
194,1298.0,2149.0,0.0,18.0
195,1302.0,2160.0,0.0,19.0
196,1303.0,2143.0,0.0,10.0
197,1304.0,2161.0,0.0,20.0
198,1305.0,2163.0,0.0,21.0
199,1307.0,2141.0,0.0,5.0
200,1311.0,2162.0,0.0,11.0
201,1312.0,2139.0,0.0,4.0
202,1318.0,2164.0,0.0,22.0
203,1328.0,2168.0,0.0,23.0
204,1329.0,2169.0,0.0,24.0
205,1331.0,2170.0,0.0,25.0
206,1332.0,2171.0,0.0,26.0
207,1334.0,2172.0,0.0,27.0
208,1335.0,2166.0,0.0,12.0
209,1336.0,2173.0,0.0,28.0
210,1338.0,2174.0,0.0,13.0
211,1340.0,2167.0,0.0,5.0
212,1341.0,2176.0,0.0,14.0
213,1342.0,2178.0,0.0,15.0
214,1346.0,2175.0,0.0,29.0
215,1347.0,2180.0,0.0,30.0
216,1350.0,2181.0,0.0,31.0
217,1355.0,2179.0,0.0,16.0
218,1359.0,2177.0,0.0,6.0
219,1360.0,2182.0,0.0,32.0
220,1362.0,2183.0,0.0,17.0
221,1410.0,2185.0,0.0,33.0
222,1459.0,2145.0,0.0,4.0
223,1458.0,2186.0,0.0,18.0
224,1463.0,2187.0,0.0,34.0
225,1464.0,2190.0,0.0,35.0
226,1465.0,2191.0,0.0,36.0
227,1466.0,2188.0,0.0,5.0
228,1467.0,2193.0,0.0,6.0
229,1468.0,2194.0,0.0,7.0
230,1469.0,2195.0,0.0,8.0
231,1470.0,2196.0,0.0,9.0
232,1471.0,2184.0,0.0,7.0
233,1472.0,2192.0,0.0,37.0
234,1473.0,2189.0,0.0,19.0
235,1482.0,1483.0,0.0,2.0
236,1486.0,2133.0,0.0,3.0
237,1522.0,2197.0,0.0,10.0
238,1538.0,2150.0,0.0,5.0
239,1547.0,2199.0,0.0,38.0
240,460.0,591.0,0.0,2.0
241,463.0,594.0,0.0,2.0
242,494.0,625.0,0.0,2.0
243,232.0,233.0,0.0,2.0
244,400.0,531.0,0.0,2.0
245,438.0,569.0,0.0,2.0
246,388.0,416.0,0.0,2.0
247,391.0,522.0,0.0,2.0
248,408.0,539.0,0.0,2.0
249,410.0,541.0,0.0,2.0
250,418.0,549.0,0.0,2.0
251,420.0,551.0,0.0,2.0
252,422.0,553.0,0.0,2.0
253,449.0,580.0,0.0,2.0
254,453.0,584.0,0.0,2.0
255,458.0,589.0,0.0,2.0
256,469.0,600.0,0.0,2.0
257,480.0,611.0,0.0,2.0
258,481.0,612.0,0.0,2.0
259,519.0,2212.0,0.0,3.0
260,547.0,2225.0,0.0,4.0
261,652.0,2213.0,0.0,3.0
262,693.0,2226.0,0.0,5.0
263,730.0,1326.0,0.0,2.0
264,735.0,1351.0,0.0,2.0
265,773.0,774.0,0.0,2.0
266,776.0,2231.0,0.0,3.0
267,784.0,794.0,0.0,2.0
268,786.0,790.0,0.0,2.0
269,787.0,792.0,0.0,2.0
270,791.0,2234.0,0.0,3.0
271,793.0,2235.0,0.0,3.0
272,806.0,810.0,0.0,2.0
273,807.0,808.0,0.0,2.0
274,809.0,2239.0,0.0,3.0
275,811.0,2238.0,0.0,3.0
276,819.0,2241.0,0.0,4.0
277,832.0,2032.0,0.0,3.0
278,834.0,2243.0,0.0,4.0
279,971.0,972.0,0.0,2.0
280,1701.0,2038.0,0.0,12.0
281,1705.0,2079.0,0.0,3.0
282,1719.0,2084.0,0.0,3.0
283,1774.0,1776.0,0.0,2.0
284,1777.0,2249.0,0.0,3.0
285,442.0,573.0,0.0,2.0
286,1791.0,1844.0,0.0,2.0
287,394.0,525.0,0.0,2.0
288,455.0,586.0,0.0,2.0
289,653.0,2253.0,0.0,3.0
290,396.0,527.0,0.0,2.0
291,419.0,550.0,0.0,2.0
292,757.0,759.0,0.0,2.0
293,758.0,2074.0,0.0,3.0
294,798.0,2258.0,0.0,3.0
295,805.0,2260.0,0.0,4.0
296,424.0,555.0,0.0,2.0
297,366.0,379.0,0.0,2.0
298,392.0,523.0,0.0,2.0
299,445.0,576.0,0.0,2.0
300,1873.0,2085.0,0.0,3.0
301,1900.0,2266.0,0.0,4.0
302,1915.0,2267.0,0.0,5.0
303,1918.0,1920.0,0.0,2.0
304,1775.0,1778.0,0.0,2.0
305,1286.0,2232.0,0.0,4.0
306,166.0,170.0,0.0,2.0
307,222.0,1911.0,0.0,2.0
308,464.0,595.0,0.0,2.0
309,152.0,764.0,0.0,2.0
310,207.0,2051.0,0.0,5.0
311,238.0,239.0,0.0,2.0
312,241.0,242.0,0.0,2.0
313,247.0,2278.0,0.0,3.0
314,248.0,2279.0,0.0,4.0
315,251.0,2280.0,0.0,5.0
316,253.0,2281.0,0.0,6.0
317,254.0,2282.0,0.0,7.0
318,255.0,2283.0,0.0,8.0
319,256.0,2284.0,0.0,9.0
320,398.0,529.0,0.0,2.0
321,413.0,544.0,0.0,2.0
322,421.0,552.0,0.0,2.0
323,423.0,554.0,0.0,2.0
324,443.0,574.0,0.0,2.0
325,471.0,602.0,0.0,2.0
326,479.0,610.0,0.0,2.0
327,482.0,613.0,0.0,2.0
328,490.0,621.0,0.0,2.0
329,491.0,622.0,0.0,2.0
330,492.0,623.0,0.0,2.0
331,497.0,628.0,0.0,2.0
332,499.0,630.0,0.0,2.0
333,501.0,632.0,0.0,2.0
334,502.0,633.0,0.0,2.0
335,512.0,643.0,0.0,2.0
336,430.0,561.0,0.0,2.0
337,898.0,910.0,0.0,2.0
338,911.0,1177.0,0.0,2.0
339,1299.0,1309.0,0.0,2.0
340,389.0,520.0,0.0,2.0
341,650.0,2306.0,0.0,3.0
342,209.0,1576.0,0.0,2.0
343,258.0,262.0,0.0,2.0
344,263.0,2309.0,0.0,3.0
345,264.0,2310.0,0.0,4.0
346,265.0,2311.0,0.0,5.0
347,267.0,2312.0,0.0,6.0
348,269.0,2313.0,0.0,7.0
349,271.0,2314.0,0.0,8.0
350,272.0,2315.0,0.0,9.0
351,273.0,2316.0,0.0,10.0
352,275.0,2317.0,0.0,11.0
353,291.0,2318.0,0.0,12.0
354,1122.0,1125.0,0.0,2.0
355,1170.0,1461.0,0.0,2.0
356,1184.0,2304.0,0.0,3.0
357,1192.0,2322.0,0.0,4.0
358,1197.0,2323.0,0.0,5.0
359,1222.0,2054.0,0.0,3.0
360,1230.0,2325.0,0.0,4.0
361,1232.0,2326.0,0.0,5.0
362,1268.0,1269.0,0.0,2.0
363,1270.0,2328.0,0.0,3.0
364,1271.0,2329.0,0.0,4.0
365,1272.0,2330.0,0.0,5.0
366,1273.0,2331.0,0.0,6.0
367,1274.0,1275.0,0.0,2.0
368,1276.0,2333.0,0.0,3.0
369,1277.0,2334.0,0.0,4.0
370,1288.0,2059.0,0.0,8.0
371,1290.0,1388.0,0.0,2.0
372,1292.0,2336.0,0.0,9.0
373,1293.0,2338.0,0.0,10.0
374,1513.0,2321.0,0.0,3.0
375,1651.0,1654.0,0.0,2.0
376,1779.0,1781.0,0.0,2.0
377,1783.0,2342.0,0.0,3.0
378,1786.0,1789.0,0.0,2.0
379,1902.0,1906.0,0.0,2.0
380,219.0,1238.0,0.0,2.0
381,457.0,588.0,0.0,2.0
382,459.0,590.0,0.0,2.0
383,486.0,617.0,0.0,2.0
384,450.0,581.0,0.0,2.0
385,1390.0,1403.0,0.0,2.0
386,1721.0,2346.0,0.0,3.0
387,1402.0,2004.0,0.0,3.0
388,425.0,556.0,0.0,2.0
389,171.0,740.0,0.0,2.0
390,211.0,1241.0,0.0,2.0
391,302.0,303.0,0.0,2.0
392,401.0,532.0,0.0,2.0
393,407.0,538.0,0.0,2.0
394,415.0,546.0,0.0,2.0
395,428.0,559.0,0.0,2.0
396,446.0,577.0,0.0,2.0
397,451.0,582.0,0.0,2.0
398,467.0,598.0,0.0,2.0
399,474.0,605.0,0.0,2.0
400,511.0,642.0,0.0,2.0
401,821.0,822.0,0.0,2.0
402,1528.0,1529.0,0.0,2.0
403,689.0,2365.0,0.0,3.0
404,707.0,2369.0,0.0,4.0
405,716.0,2052.0,0.0,3.0
406,763.0,2355.0,0.0,3.0
407,771.0,785.0,0.0,2.0
408,795.0,2373.0,0.0,3.0
409,796.0,2374.0,0.0,4.0
410,815.0,817.0,0.0,2.0
411,134.0,137.0,0.0,2.0
412,139.0,2377.0,0.0,3.0
413,154.0,1696.0,0.0,2.0
414,182.0,1691.0,0.0,2.0
415,466.0,597.0,0.0,2.0
416,217.0,1239.0,0.0,2.0
417,244.0,245.0,0.0,2.0
418,252.0,2383.0,0.0,3.0
419,496.0,627.0,0.0,2.0
420,259.0,280.0,0.0,2.0
421,282.0,2386.0,0.0,3.0
422,284.0,2387.0,0.0,4.0
423,290.0,2388.0,0.0,5.0
424,292.0,2389.0,0.0,6.0
425,293.0,2390.0,0.0,7.0
426,296.0,2391.0,0.0,8.0
427,301.0,2392.0,0.0,9.0
428,441.0,572.0,0.0,2.0
429,510.0,641.0,0.0,2.0
430,368.0,371.0,0.0,2.0
431,412.0,543.0,0.0,2.0
432,427.0,558.0,0.0,2.0
433,433.0,564.0,0.0,2.0
434,448.0,579.0,0.0,2.0
435,454.0,585.0,0.0,2.0
436,476.0,607.0,0.0,2.0
437,727.0,737.0,0.0,2.0
438,745.0,2403.0,0.0,3.0
439,842.0,843.0,0.0,2.0
440,963.0,964.0,0.0,2.0
441,965.0,2406.0,0.0,3.0
442,966.0,2407.0,0.0,4.0
443,1653.0,1659.0,0.0,2.0
444,1164.0,1210.0,0.0,2.0
445,1175.0,1191.0,0.0,2.0
446,1213.0,1343.0,0.0,2.0
447,1722.0,2382.0,0.0,3.0
448,1806.0,1807.0,0.0,2.0
449,383.0,384.0,0.0,2.0
450,395.0,526.0,0.0,2.0
451,434.0,565.0,0.0,2.0
452,483.0,614.0,0.0,2.0
453,487.0,618.0,0.0,2.0
454,505.0,636.0,0.0,2.0
455,513.0,644.0,0.0,2.0
456,654.0,2416.0,0.0,3.0
457,1002.0,1014.0,0.0,2.0
458,1616.0,1617.0,0.0,2.0
459,1618.0,2424.0,0.0,3.0
460,1619.0,2425.0,0.0,4.0
461,1620.0,2426.0,0.0,5.0
462,304.0,305.0,0.0,2.0
463,507.0,638.0,0.0,2.0
464,183.0,1693.0,0.0,2.0
465,187.0,189.0,0.0,2.0
466,190.0,2431.0,0.0,3.0
467,226.0,227.0,0.0,2.0
